#                PTC                  CN               Count
             -3.2515                  14                   0
             -3.2445                   0                   0
             -3.2445                   1                   0
             -3.2445                   2                   0
             -3.2445                   3                   0
             -3.2445                   4                   0
             -3.2445                   5                   0
             -3.2445                   6                   0
             -3.2445                   7                   0
             -3.2445                   8     0.0006664371901
             -3.2445                   9                   0
             -3.2445                  10                   0
             -3.2445                  11                   0
             -3.2445                  12                   0
             -3.2445                  13                   0
             -3.2445                  14                   0
             -3.2375                   0                   0
             -3.2375                   1                   0
             -3.2375                   2                   0
             -3.2375                   3                   0
             -3.2375                   4                   0
             -3.2375                   5                   0
             -3.2375                   6                   0
             -3.2375                   7                   0
             -3.2375                   8     0.0003332185951
             -3.2375                   9                   0
             -3.2375                  10                   0
             -3.2375                  11                   0
             -3.2375                  12                   0
             -3.2375                  13                   0
             -3.2375                  14                   0
             -3.2305                   0                   0
             -3.2305                   1                   0
             -3.2305                   2                   0
             -3.2305                   3                   0
             -3.2305                   4                   0
             -3.2305                   5                   0
             -3.2305                   6                   0
             -3.2305                   7                   0
             -3.2305                   8     0.0003332185951
             -3.2305                   9                   0
             -3.2305                  10                   0
             -3.2305                  11                   0
             -3.2305                  12                   0
             -3.2305                  13                   0
             -3.2305                  14                   0
             -3.2235                   0                   0
             -3.2235                   1                   0
             -3.2235                   2                   0
             -3.2235                   3                   0
             -3.2235                   4                   0
             -3.2235                   5                   0
             -3.2235                   6     0.0003332185951
             -3.2235                   7                   0
             -3.2235                   8                   0
             -3.2235                   9                   0
             -3.2235                  10                   0
             -3.2235                  11                   0
             -3.2235                  12                   0
             -3.2235                  13                   0
             -3.2235                  14                   0
             -3.2165                   0                   0
             -3.2165                   1                   0
             -3.2165                   2                   0
             -3.2165                   3                   0
             -3.2165                   4                   0
             -3.2165                   5                   0
             -3.2165                   6     0.0003332185951
             -3.2165                   7                   0
             -3.2165                   8     0.0009996557852
             -3.2165                   9                   0
             -3.2165                  10                   0
             -3.2165                  11                   0
             -3.2165                  12                   0
             -3.2165                  13                   0
             -3.2165                  14                   0
             -3.2095                   0                   0
             -3.2095                   1                   0
             -3.2095                   2                   0
             -3.2095                   3                   0
             -3.2095                   4                   0
             -3.2095                   5                   0
             -3.2095                   6                   0
             -3.2095                   7                   0
             -3.2095                   8       0.00199931157
             -3.2095                   9                   0
             -3.2095                  10                   0
             -3.2095                  11                   0
             -3.2095                  12                   0
             -3.2095                  13                   0
             -3.2095                  14                   0
             -3.2025                   0                   0
             -3.2025                   1                   0
             -3.2025                   2                   0
             -3.2025                   3                   0
             -3.2025                   4                   0
             -3.2025                   5                   0
