#                  R                OClO                ClOO                 OOO             OO(cl)O
               74.34                   0      0.005973111664      0.008794324248       0.00910210795
                74.7                   0        0.0061986303      0.008922651836      0.009124362493
               75.06                   0      0.006270670976      0.008994168453      0.009218516327
               75.42                   0      0.006169396403      0.008982861752      0.009152608643
               75.78                   0      0.006163131996      0.009048412871      0.008879562524
               76.14                   0      0.005943877766      0.009135883729      0.008794824073
                76.5                   0      0.006038887933      0.009135051334       0.00854488844
               76.86                   0      0.006530643848      0.009164531996      0.008500379354
               77.22                   0      0.006470087918      0.009237089108      0.008708373734
               77.58                   0      0.006952447224       0.00932671032      0.008860731757
               77.94                   0      0.006836555702      0.009418204422      0.008789688409
                78.3                   0      0.007610209914      0.009503802391       0.00923221143
               78.66                   0      0.007732365842      0.009585169018      0.009502689718
               79.02                   0      0.007971457359      0.009714120902      0.009720955425
               79.38                   0      0.008206372605      0.009834679468      0.009988009937
               79.74                   0      0.008341057347       0.01000414125       0.01013352041
                80.1                   0      0.008159389556       0.01004395748       0.01006675678
               80.46                   0      0.008187579386       0.01011956671        0.0102833106
               80.82                   0      0.007547565848       0.01023762809       0.01027132738
               81.18                   0      0.007198847216       0.01031178063       0.01050585603
               81.54                   0      0.007351281109       0.01049282658       0.01067190915
                81.9                   0      0.006843864177       0.01065514363       0.01079430914
               82.26                   0      0.006772867569       0.01091290867       0.01098604058
               82.62                   0      0.006642359099       0.01105469331       0.01076691893
               82.98                   0      0.006658020115       0.01112475324       0.01053153434
               83.34                   0      0.006749898078       0.01131960307       0.01030556514
                83.7                   0      0.007064162474       0.01144730636        0.0104313889
               84.06                   0      0.007484921782       0.01174814785       0.01072583362
               84.42                   0      0.007390955684       0.01175737356       0.01073867278
               84.78                   0      0.007579931948       0.01178137429       0.01089445458
               85.14                   0      0.007620650591       0.01181432326       0.01059744203
                85.5                   0      0.008059159051        0.0118422085       0.01082683501
               85.86                   0       0.00783572855       0.01181702854        0.0111247035
               86.22                   0       0.00815312515       0.01195187656       0.01133355382
               86.58                   0      0.008114494642       0.01193439626        0.0112727818
               86.94                   0       0.00804558617        0.0119160142       0.01147820835
                87.3                   0      0.007859742109       0.01190019869       0.01146194542
               87.66                   0      0.007751159061       0.01197344947        0.0116134475
               88.02                   0      0.007974589562       0.01199557731       0.01180089922
               88.38                   0      0.008269016671       0.01205759075       0.01169390623
               88.74                   0      0.008545694628       0.01201007486       0.01158520135
                89.1                   0       0.00882446072       0.01204961363       0.01161002372
               89.46                   0      0.008831769195       0.01209373057       0.01171359294
               89.82                   0       0.00903431834       0.01216975599       0.01144653843
               90.18                   0      0.009061464102       0.01217863488        0.0115706503
               90.54                   0      0.008752420045       0.01224078705        0.0114850559
                90.9                   0      0.008881884447       0.01231403782        0.0114499622
               91.26                   0      0.008869355634       0.01244042315       0.01154240415
               91.62                   0      0.008890236989       0.01261543424       0.01178549223
               91.98                   0      0.009122020032          0.01274834       0.01193785025
               92.34                   0      0.008990467494       0.01289345422        0.0122074726
                92.7                   0      0.009078169186       0.01307713609       0.01197123207
               93.06                   0      0.009449857309       0.01331318948       0.01242402642
               93.42                   0      0.009823633568        0.0133213747       0.01242488236
               93.78                   0      0.009965626784       0.01344311249       0.01237181383
               94.14                   0       0.01046886744       0.01343478854       0.01223229497
                94.5                   0       0.01028928779       0.01355985591       0.01241889075
               94.86                   0       0.01019532169        0.0135399478       0.01233072852
               95.22                   0       0.01030286067       0.01356519712       0.01263886835
               95.58                   0       0.01041770812       0.01373840468       0.01301462774
               95.94                   0       0.01042084033       0.01372030008       0.01306940815
                96.3                   0       0.01043441321       0.01370698176       0.01310792563
               96.66                   0       0.01060146405       0.01386638543       0.01323802911
               97.02                   0       0.01043441321       0.01377829028       0.01322518995
               97.38                   0       0.01029241999       0.01378938888       0.01335529343
               97.74                   0       0.01032165389       0.01374610433       0.01329280952
                98.1                   0       0.01010031152       0.01381179418       0.01320122352
               98.46                   0      0.009976067461       0.01384508999        0.0131969438
               98.82                   0       0.01002409458       0.01380464946       0.01298980537
               99.18                   0       0.01005019627        0.0138095051       0.01318068087
               99.54                   0      0.009992772545       0.01377287971       0.01304972144
                99.9                   0       0.01006898949       0.01375956139       0.01284343895
              100.26                   0       0.01018070474        0.0137692033       0.01312076479
              100.62                   0       0.01022142339       0.01377974697       0.01276725994
              100.98                   0       0.01043441321       0.01378488007        0.0126731061
              101.34                   0       0.01042397253       0.01381609489       0.01217665861
               101.7                   0       0.01035610813       0.01368318913        0.0120867845
              102.06                   0       0.01022142339       0.01370261168       0.01194897752
              102.42                   0       0.01013058949       0.01373070502       0.01192073137
              102.78                   0        0.0101044878       0.01373930644       0.01188649362
              103.14                   0       0.01037176914       0.01369720112       0.01182657754
               103.5                   0       0.01031747762       0.01370698176       0.01194726564
              103.86                   0       0.00992073187       0.01367604441        0.0121509803
              104.22                   0       0.00933292172       0.01364011268       0.01213129358
              104.58                   0      0.009625260693       0.01365266797       0.01197123207
              104.94                   0      0.009555308153       0.01367715427       0.01219292155
               105.3                   0       0.00971087425       0.01358330171       0.01238379705
              105.66                   0      0.009513545443       0.01355916225       0.01257809633
              106.02                   0      0.009686860691       0.01364309543       0.01247281522
              106.38                   0      0.009773518315       0.01360633131       0.01247538305
              106.74                   0      0.009789179332       0.01355118513       0.01244799285
               107.1                   0       0.01007003356        0.0134410315        0.0121295817
              107.46                   0       0.01012745729       0.01338859061       0.01207822506
              107.82                   0       0.01020680644       0.01332283139       0.01192073137
              108.18                   0      0.009980243732       0.01319713972       0.01168962651
              108.54                   0       0.01009717932       0.01319873515       0.01171016916
               108.9                   0       0.01013267763       0.01314469883       0.01187365446
              109.26                   0      0.009916555599       0.01314809777       0.01160488806
              109.62                   0      0.009676420014       0.01316627174       0.01132585033
              109.98                   0      0.009596026796        0.0131834052        0.0112102979
              110.34                   0      0.009667023404       0.01303281104       0.01083881822
               110.7                   0      0.009869572549       0.01296018457       0.01038003227
              111.06                   0      0.009999036952       0.01295442717       0.01021141131
              111.42                   0      0.009905070853       0.01283643515       0.01020627564
              111.78                   0       0.01022455559       0.01268702022      0.009762040735
              112.14                   0        0.0105221149       0.01258283209      0.009121794661
               112.5                   0       0.01068916574       0.01244548689       0.00883762127
              112.86                   0       0.01075598608       0.01247614678      0.008708373734
              113.22                   0       0.01111514539       0.01238388965      0.008565431094
              113.58                   0       0.01158601995       0.01223669444       0.00836514021
              113.94                   0        0.0115359047       0.01218626517       0.00854060872
               114.3                   0       0.01196292841       0.01208471296      0.008333470284
              114.66                   0       0.01199738265       0.01206535977      0.008221341627
              115.02                   0       0.01209865722        0.0119686632       0.00837369965
              115.38                   0       0.01200782333       0.01199030547      0.008384826921
              115.74                   0       0.01207359959       0.01202082663      0.008452446493
               116.1                   0       0.01171757249       0.01195132163      0.008706661846
              116.46                   0       0.01162882673       0.01185878704      0.008591109413
              116.82                   0       0.01152233182       0.01179725916      0.008542320608
              117.18                   0       0.01084473184       0.01172546508      0.008806807288
              117.54                   0       0.01076225049       0.01160594701      0.008941190488
               117.9                   0       0.01064635896       0.01159762305       0.00874432338
              118.26                   0        0.0104281488       0.01154025715      0.009067870192
              118.62                   0       0.01035088779       0.01144293629      0.009352043583
              118.98                   0       0.01047617592       0.01131703652      0.009370018406
              119.34                   0       0.01025587762       0.01122110298      0.009456468745
               119.7                   0       0.01012432508       0.01112953951      0.009575444954
              120.06                   0       0.01003140305       0.01109506447      0.009507825382
              120.42                   0      0.009587674254       0.01100655312      0.009647344246
              120.78                   0      0.009783958993       0.01084472163        0.0093426282
              121.14                   0       0.00986017594       0.01077181769      0.009372586238
               121.5                   0      0.009898806447       0.01067401126      0.009294695339
              121.86                   0       0.01005541661       0.01059243653      0.009091836623
              122.22                   0       0.01006272509       0.01035846412      0.008869291196
              122.58                   0      0.009649274252       0.01024394042      0.008836765326
              122.94                   0      0.009115755626       0.01013087341      0.008544032496
               123.3                   0      0.008902765802       0.01011131213      0.008680983528
              123.66                   0      0.008539430221       0.01009868747      0.008862443645
              124.02                   0      0.008394304802       0.00998444123      0.008422488455
              124.38                   0      0.008181314979      0.009819002692      0.008204222748
              124.74                   0      0.007759511603      0.009711901181      0.008405369576
               125.1                   0      0.007475525172      0.009690467006      0.008327478677
              125.46                   0      0.007283416704      0.009686998693      0.008340317836
              125.82                   0      0.007233301452      0.009594672196      0.008277833928
              126.18                   0      0.007331443821      0.009454482977      0.008201654916
              126.54                   0      0.007360677719       0.00930666347      0.008131467512
               126.9                   0      0.007059986203      0.009256511662      0.008181112261
              127.26                   0      0.007149776031      0.009223077123       0.00827184232
              127.62                   0      0.007423321784      0.009130334428      0.008122052129
              127.98                   0      0.007345016702      0.008956571938      0.007849006009
              128.34                   0       0.00707564722      0.008864176075      0.007651282957
               128.7                   0      0.007019267561      0.008841840139      0.007751428399
