                  #X                  OH                  OO                 OCl                 HCl
               3.834          1.02689483         0.962735736        0.8558427262         1.217741936
               3.846         1.026591112        0.9928407002        0.9039710431         1.253895318
               3.858         1.016688217         1.011053365        0.9080160798         1.342704629
                3.87         1.017173859         1.023992859            1.147192         1.243191331
               3.882        0.9997263816         1.040236388        0.9540674398         1.297531718
               3.894         1.014306625         1.046327063         1.009829032         1.299028896
               3.906         1.003633781         1.041403739        0.8999720762         1.196821504
               3.918         1.004296979         1.067146844        0.9506645992         1.257406132
                3.93         1.006706526         1.071131015        0.8657410149         1.193884787
               3.942        0.9911139982         1.098251534        0.9807600622         1.161182904
               3.954        0.9898149349         1.110426164         1.007003404         1.230015573
               3.966        0.9823107298         1.100959908         1.060334081         1.220298274
               3.978        0.9856231775         1.128651569        0.9767177041         1.222032848
                3.99        0.9731451817         1.130187319          1.03406979         1.174053036
               4.002        0.9916843926         1.130259444         0.974015183         1.175999898
               4.014        0.9744678835         1.163738236          1.04851172           1.1712099
               4.026        0.9723986916         1.170046426         1.162020836         1.210807971
               4.038        0.9875874363         1.164922085         1.133080228          1.24330204
                4.05         0.976143516         1.178760342         1.196500184         1.200882969
               4.062        0.9803778442         1.189648679         1.202511989         1.187262743
               4.074        0.9748515601         1.186638311         1.260407888         1.210597954
               4.086        0.9694757098         1.191571048         1.089391472          1.30468623
               4.098        0.9684607051         1.199687238          1.22428436         1.185757929
                4.11        0.9690284721         1.176074291         1.268214746         1.140542121
               4.122        0.9623200589         1.182534133         1.108525012         1.241801874
               4.134        0.9781076753         1.202119639         1.123131218         1.249325736
               4.146        0.9768684014         1.193312248         1.041360104         1.150096501
               4.158         0.968169004         1.198314571         1.081096754         1.097729012
                4.17        0.9684451617         1.229882045         1.095554409          1.18857318
               4.182        0.9608401098         1.239145443         1.076944749         1.183817129
               4.194        0.9697513763         1.239979115         1.172965491         1.179095972
               4.206        0.9643547488         1.252393686         1.133772343         1.225205597
               4.218        0.9619861044         1.214620498         1.260670636         1.183899027
                4.23        0.9647625289         1.280567926          1.28566979         1.161120529
               4.242        0.9713920847         1.247587419         1.198505755          1.12060288
               4.254        0.9656357169         1.258844943         1.299011454         1.114289642
               4.266        0.9709014176         1.276351788         1.189008595          1.09617902
               4.278        0.9671144895          1.28877935          1.25698073         1.156815078
                4.29        0.9705469016         1.285299599         1.183554464         1.078089215
               4.302        0.9677911984         1.299842261         1.130348552          1.14005945
               4.314        0.9644379552         1.288574212         1.263128918         1.095098007
               4.326        0.9693689873         1.301678774         1.252289613         1.135127548
               4.338        0.9664085485         1.287695808         1.203349186          1.06964372
                4.35        0.9608427837         1.293747204         1.291696892         1.211915613
               4.362        0.9598514372         1.299952499         1.258152034         1.142915887
               4.374        0.9738866177         1.302372428         1.285075853         1.177986199
               4.386        0.9617729991         1.297035179         1.281790597         1.053833669
               4.398        0.9697759373         1.306249281         1.323121618         1.122423395
                4.41        0.9645641025         1.290701124         1.304841453         1.092296458
               4.422        0.9768427917         1.299111337         1.297769159         1.158065964
               4.434        0.9731876966          1.30137555         1.341945593         1.075019086
               4.446        0.9800064066         1.286393707         1.305616876         1.136504941
               4.458        0.9813979251         1.286023152         1.389029025         1.038154505
                4.47        0.9814183339         1.283125233         1.338406754         1.036185874
               4.482         0.989888193         1.281603157         1.406400698         1.052116553
               4.494        0.9758229488         1.262563813         1.512805249         1.167529698
               4.506        0.9829121415         1.282824125         1.409162014         1.042709078
               4.518         0.976859236         1.302851661         1.296031619         1.021329265
                4.53        0.9722745458         1.261482433          1.46433388         1.064970094
               4.542        0.9790360674         1.249958026         1.414790087         1.078516088
               4.554        0.9818889084         1.249431696         1.494002944         1.071106519
               4.566           0.9854919         1.248893626         1.324096529         1.067208009
               4.578         0.984524631         1.238870369          1.58471306        0.9947333061
                4.59        0.9860454421         1.218102331         1.450186302         1.066313457
               4.602        0.9914702531         1.225335788         1.524099614         1.055668107
               4.614        0.9885977684         1.239660008         1.472283859         1.056937725
               4.626        0.9870747633         1.221079441         1.424343845         1.007790456
               4.638        0.9913363521         1.217739582         1.383563503         1.020962923
                4.65        0.9959630458         1.209984936         1.369782319         1.022349668
               4.662        0.9897136332         1.194208599         1.418969305         1.015439572
               4.674        0.9990544087          1.19654616          1.30310082         1.016813519
               4.686        0.9933465638         1.176187185         1.335721277         1.000154045
               4.698        0.9951287795         1.178871905         1.410334475        0.9901655437
                4.71        0.9893444002         1.166905847         1.357789546        0.9786454486
               4.722         1.002029311         1.171627122         1.363793622        0.9865741094
               4.734         1.002378421         1.160399473         1.372927222        0.9751632604
               4.746         1.003268452         1.147345178         1.251096631        0.9957707883
               4.758         1.013033188         1.144387775         1.311479278         1.014570531
                4.77        0.9965582152         1.144254051         1.156390686        0.9510207556
               4.782         1.009926147         1.139716053         1.232330458        0.9415381941
               4.794         1.010884238         1.117235615         1.166737166        0.9587263847
               4.806         1.012907042         1.119172615         1.117344709          0.92748948
               4.818         1.008506756         1.111638321         1.294502677         1.026621142
                4.83         1.005507208           1.1068063         1.321975158         1.015363204
               4.842          1.01559313         1.103857964         1.287834291        0.8938183233
               4.854         1.013072044         1.098309963         1.192991856         1.000770662
               4.866          1.01646697         1.071887841         1.247837059        0.9366368193
               4.878         1.011376146         1.079856238         1.145027417         0.916928288
                4.89         1.017847411         1.062919113         1.163465516        0.8643316171
               4.902         1.011872948         1.059810895         1.310351369        0.8989967723
               4.914         1.020121188         1.022035023         1.175945142        0.9303363467
               4.926         1.021928737         1.043207653          1.09319547        0.9998739052
               4.938         1.017108318         1.007538342         1.258884763        0.9360560004
                4.95         1.026130678          1.02631696         1.179440209        0.9505936011
               4.962          1.02112719        0.9924394153         1.106588023        0.9547606424
               4.974         1.026514372         1.010071878         1.130311941        0.9574236107
               4.986         1.026169243        0.9962193207         1.035234545        0.9108907307
               4.998         1.026523631        0.9801126301        0.9669567559        0.9122776536
                5.01         1.037319011        0.9817877225         1.119854462         1.048252515
               5.022         1.040172303        0.9776443285         1.066052188         1.038973322
               5.034         1.033575548        0.9722684225           1.1574281        0.9787075844
               5.046         1.021629475        0.9572524548         1.061582217         0.971234794
               5.058         1.031350451        0.9627959537        0.9385320327        0.9371270446
                5.07         1.035729812        0.9395991339         0.931297847        0.9718498554
               5.082         1.032523238        0.9389667669        0.9937089005        0.9338636866
               5.094         1.049387765        0.9485320294        0.9640990362        0.9834918329
               5.106         1.044964404        0.9366382513        0.9099396843        0.9981762598
               5.118         1.044665878        0.9219702939         1.026434704         1.014084553
                5.13         1.039025478        0.9134995102        0.9806634907        0.9847609705
               5.142           1.0466972        0.9067376479         1.014156496         1.059018647
               5.154          1.04468547        0.9101665638        0.9688454162        0.9837299129
               5.166         1.046358249         0.900726662        0.9293313396         1.030345616
               5.178         1.044854921        0.9168149203        0.9437975894         1.026916127
                5.19         1.047018677        0.8837734883         1.014166298         1.047527031
               5.202         1.046916488        0.8884716707        0.9776140111        0.9988664896
               5.214         1.051085468        0.9082278364        0.8461906452         1.040550059
               5.226         1.040017694        0.8779066282        0.8396768278        0.9133788691
               5.238         1.044532463        0.8884452505        0.8227330748         0.976012963
                5.25         1.051147937        0.8660895962        0.8111516949        0.9467783449
               5.262         1.046791837        0.8637099003        0.8386121176          1.02944181
               5.274         1.042341382        0.8557635871        0.7908633956         0.961441775
               5.286         1.043249875        0.8667476449        0.8387327144         1.031692695
               5.298         1.043712591        0.8694928584        0.8144482852         1.033427305
                5.31         1.038231653        0.8558546452         0.874511208         1.045334097
               5.322         1.035911759        0.8532080747        0.8451908679           0.9949394
               5.334         1.038575402        0.8573947191        0.8110718217        0.9879410663
               5.346         1.039228353        0.8445265046        0.9030189086         1.074064273
               5.358         1.037082688        0.8408273647        0.8864579695         1.060494209
                5.37         1.038428003        0.8443546434        0.8949652719        0.9385917127
               5.382         1.036717668        0.8318480904        0.8214874137        0.9902521997
               5.394         1.037483061        0.8398382924        0.8252487788         1.034031778
               5.406         1.023511408        0.8313504455        0.8265088405         1.042975442
               5.418         1.028681277        0.8282161239        0.8595861798         1.049380849
                5.43         1.024197696        0.8251787595        0.7728939596        0.9996420297
               5.442         1.026313036        0.8258590132        0.8204647675          1.04864136
               5.454         1.017390266        0.8202340995        0.7975244097         1.013822697
               5.466         1.015295983        0.8199211606        0.7771835149         1.035843663
               5.478         1.017374067        0.8135189979         0.895958429         1.021727995
                5.49         1.007593201        0.8173112653        0.9755261892        0.9600227168
               5.502         1.007820406        0.8008584648        0.8810347782         1.068640567
               5.514         1.011076075        0.8202701817        0.8559243121        0.9599593113
               5.526          0.99699268        0.8111063553        0.8357317625        0.9875759841
               5.538         1.009475244        0.8227007446         0.878993537        0.9540009855
                5.55         1.006818753        0.8224810495        0.9078706008         1.004725691
               5.562        0.9973888002        0.8074275457        0.8017102652        0.9922616906
               5.574        0.9936315045        0.8188659197        0.9301488286        0.9394040408
