#              angle               total                nH:2                nH:3                nH:4                nH:5                nH:6                nH:7                nH:8                nH:9                nH:10
#         Num count:             6680786                  14               32106              595440             3118820             2639070              281064               13552                 720                   0
                44.1     0.0007060047525                   0      0.001038227538      0.000242584382     0.0003598226965      0.001023087679      0.002292874379      0.005329266693                   0                 nan
               44.46     0.0007326150612                   0      0.000519113769     0.0002705748877     0.0003651665979      0.001065190052      0.002292874379      0.009018759019                   0                 nan
               44.82     0.0007974776887                   0      0.001384303384     0.0004198575843     0.0004577942227      0.001092556595      0.002213809745      0.007378984652                   0                 nan
               45.18     0.0008457088732                   0      0.002249492999      0.000242584382     0.0004417625184      0.001172551105      0.002984689924      0.009018759019                   0                 nan
               45.54     0.0009405080979                   0      0.002076455076     0.0004851687641     0.0005575470495      0.001252545615      0.002767262181      0.007788928243                   0                 nan
                45.9      0.001028654745                   0      0.001557341307      0.000587800618     0.0006181112657      0.001402009041      0.002688197548      0.006559097468                   0                 nan
               46.26      0.001096012089                   0      0.001211265461      0.000587800618     0.0006947071863      0.001477793314      0.002747496023       0.00696904106                   0                 nan
               46.62      0.001129274975                   0      0.003806834306     0.0006997626405     0.0008069291164       0.00135569643        0.0030439884      0.004099435918                   0                 nan
               46.98      0.001174179871                   0      0.003979872229     0.0008210548315     0.0007908974121      0.001450426771      0.003063754558      0.005329266693                   0                 nan
               47.34      0.001272305384                   0       0.00346075846     0.0008677056742     0.0009066819431      0.001528316162      0.003340480776      0.005329266693                   0                 nan
                47.7      0.001402030639                   0      0.003114682614      0.001026318539      0.001091937193      0.001629361859      0.002984689924      0.008198871835                   0                 nan
               48.06      0.001416998938                   0      0.002768606768     0.0009889978653      0.001090155892      0.001665148876      0.003261416142      0.005739210285                   0                 nan
               48.42      0.001504314013                   0      0.002768606768      0.001035648708      0.001243347733      0.001734617793      0.002905625291      0.005329266693                   0                 nan
               48.78      0.001549218909                   0      0.002249492999      0.001362204607      0.001264723339      0.001753563861      0.002984689924      0.004099435918                   0                 nan
               49.14      0.001786216971                   0       0.00346075846       0.00140885545      0.001469572894      0.002060911188      0.003024222241      0.007378984652       0.01543209877                 nan
                49.5      0.001775406533                   0      0.001903417153      0.001502157135      0.001510542805      0.002001967865      0.002984689924      0.005329266693                   0                 nan
               49.86      0.001866047897                   0       0.00692151692      0.001530147641      0.001612076932       0.00201038834      0.003360246935      0.004099435918                   0                 nan
               50.22      0.002028204466                   0      0.006575441074      0.001744741517      0.001774175276       0.00212195963      0.003716037787      0.009018759019                   0                 nan
               50.58       0.00205315163                   0       0.00519113769      0.001838043202      0.001783081778      0.002199849021      0.003696271628      0.003689492326                   0                 nan
               50.94      0.002217802915                   0      0.005883289382      0.002136608596      0.001954086624      0.002357732922      0.003518376202      0.003689492326                   0                 nan
                51.3      0.002348359742                   0      0.005364175613      0.002416513652      0.002041370347       0.00253666801      0.003241649984      0.007378984652      0.007716049383                 nan
               51.66      0.002549600202                   0      0.005883289382      0.002397853315      0.002285408513      0.002736654284      0.003518376202      0.004919323101       0.01543209877                 nan
               52.02      0.002660199297                   0      0.006056327305      0.002341872304      0.002443944255      0.002846120456      0.003518376202      0.004509379509                   0                 nan
               52.38      0.002715083059                   0      0.004152910152      0.002631107528      0.002581104392      0.002795597607      0.003300948459      0.006149153876                   0                 nan
               52.74      0.002929628673                   0      0.005018099767       0.00306962545      0.002643449909      0.003138731952      0.003459077727      0.006149153876                   0                 nan
                53.1      0.003056027639                   0      0.004845061844      0.002836371236      0.002919551483      0.003155572902      0.003854400896      0.004099435918                   0                 nan
               53.46      0.003249783949                   0      0.005018099767      0.002966993596      0.002942708389      0.003551335214      0.004071828638      0.006559097468                   0                 nan
               53.82      0.003362046189                   0      0.005537213536      0.002911012585      0.003149339244      0.003576596638      0.004170659431      0.008608815427                   0                 nan
               54.18       0.00357160237                   0      0.004498985998       0.00306962545      0.003286499381      0.003907100271      0.004210191748      0.009838646202       0.01543209877                 nan
               54.54      0.003725443217                   0      0.006402403151      0.003433502023      0.003412971715      0.003991305018      0.004822942659      0.007788928243                   0                 nan
                54.9      0.003883441925                   0      0.003633796383      0.003797378596      0.003669478984      0.004058668816      0.004467151807       0.01106847698      0.007716049383                 nan
               55.26       0.00402480919                   0      0.005710251459      0.003741397585      0.003788826116      0.004252339734      0.004704345709      0.008198871835      0.007716049383                 nan
               55.62      0.004075535091                   0      0.005710251459      0.004058623315      0.003836921229      0.004220762954      0.004882241134      0.009428702611       0.03086419753                 nan
               55.98      0.004406500805                   0       0.00692151692      0.004487811068       0.00414152361      0.004496533501      0.005791484423      0.009018759019       0.01543209877                 nan
