#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               2.082        0.5664291363                   0                   0         1.775350129      0.008892414835      0.009122873773
               2.094        0.5317948205                   0                   0         1.875059522      0.009706691193      0.009091873716
               2.106        0.5080313125                   0                   0         2.007065539      0.009729309981      0.009636588995
               2.118         0.483233489                   0                   0          2.04995185      0.009622678553      0.009605588938
                2.13        0.4612263911                   0                   0         2.125647959      0.009548359679       0.01046473336
               2.142        0.4452630926                   0                   0         2.152475238      0.009522509636       0.01017687569
               2.154        0.4214561776                   0                   0         2.311754753        0.0102495421       0.01079244824
               2.166        0.4033152405                   0                   0         2.397789352       0.01136432521       0.01077916251
               2.178         0.386251676                   0                   0         2.437993058       0.01218506408       0.01123973477
                2.19        0.3717783749                   0                   0         2.470985305       0.01383623558       0.01129287773
               2.202        0.3596284152                   0                   0         2.558208556       0.01444048034       0.01181987869
               2.214        0.3438222686                   0                   0         2.585049951       0.01491224363        0.0113858779
               2.226        0.3314296177                   0                   0         2.649284632       0.01488316233       0.01188630738
               2.238        0.3143224865                   0                   0         2.685598621        0.0142045987       0.01163387835
                2.25        0.3065369557                   0                   0          2.64423658       0.01401395463       0.01200587903
               2.262        0.2978856296                   0                   0         2.636295355       0.01351311004       0.01228487954
               2.274        0.2857963653     0.0001325240355                   0         2.663857355       0.01293471533        0.0124221655
               2.286        0.2785008488      0.000262272724                   0         2.610146345       0.01263743983       0.01323259555
               2.298        0.2683407946      0.001103048151                   0         2.573249122       0.01308658433       0.01273659465
                2.31        0.2575094054      0.002183235405                   0         2.588554663        0.0138782419       0.01250187993
               2.322        0.2543939494      0.004416782284                   0         2.581386817       0.01604964552       0.01280302334
               2.334        0.2469022668      0.006541498772                   0         2.472191206        0.0179205424       0.01288273777
               2.346        0.2426241118       0.01058372493                   0         2.398917987       0.01878328759       0.01272330891
               2.358        0.2353002598       0.01817942163                   0         2.354666477       0.01946508247       0.01319273833
                2.37        0.2339605554       0.02461458422                   0         2.224234223       0.01912903191       0.01321930981
               2.382        0.2305901385       0.03251979954                   0         2.166212692       0.01747462915       0.01323259555
