                  #X                OClO                HClH
             140.175          0.00487781          0.00613347
             140.625          0.00547399          0.00607392
             141.075          0.00449843          0.00452567
             141.525          0.00444423           0.0051807
             141.975           0.0050946          0.00589528
             142.425          0.00406484          0.00470431
             142.875          0.00428163          0.00577618
             143.325          0.00357706          0.00482341
             143.775          0.00336027          0.00363244
             144.225          0.00428163          0.00440657
             144.675          0.00352286          0.00351335
             145.125          0.00531139          0.00440657
             145.575          0.00373965          0.00303696
             146.025           0.0051488          0.00488296
             146.475          0.00471522          0.00363244
             146.925          0.00325187          0.00363244
             147.375          0.00287249          0.00273922
             147.825          0.00352286          0.00321561
             148.275           0.0025473          0.00309651
             148.725           0.0026557           0.0035729
             149.175          0.00287249          0.00303696
             149.625          0.00211372           0.0034538
             150.075           0.0025473          0.00351335
             150.525          0.00292669          0.00238193
             150.975          0.00227631          0.00327515
             151.425           0.0026015          0.00208419
             151.875          0.00216792          0.00232238
             152.325          0.00281829          0.00279877
             152.775          0.00195112          0.00190554
             153.225          0.00189693          0.00279877
             153.675          0.00195112          0.00238193
             154.125          0.00173433          0.00238193
             154.575          0.00216792          0.00196509
             155.025          0.00157174           0.0016078
             155.475          0.00173433          0.00166735
             155.925          0.00222211          0.00154825
             156.375          0.00140915          0.00154825
             156.825          0.00178853           0.0017269
             157.275          0.00227631          0.00214374
             157.725          0.00227631         0.000893224
             158.175          0.00184273          0.00136961
             158.625          0.00168013          0.00131006
             159.075          0.00151754          0.00119097
             159.525          0.00162594          0.00166735
             159.975          0.00130075         0.000952772
             160.425          0.00130075           0.0016078
             160.875          0.00119235          0.00125051
             161.325         0.000812968          0.00125051
             161.775         0.000921364          0.00107187
             162.225         0.000270989          0.00125051
             162.675         0.000596177          0.00107187
             163.125         0.000379385         0.000655031
             163.575         0.000596177         0.000833676
             164.025         0.000379385         0.000833676
             164.475                   0          0.00107187
             164.925         0.000379385         0.000655031
             165.375         0.000433583          0.00107187
             165.825         0.000596177         0.000476386
             166.275         0.000596177          0.00113142
             166.725          0.00102976         0.000535934
             167.175          0.00113816         0.000595483
             167.625         0.000650375          0.00113142
             168.075         0.000541979         0.000595483
             168.525          0.00108396         0.000476386
             168.975         0.000921364         0.000595483
             169.425         0.000650375         0.000893224
             169.875         0.000596177         0.000714579
             170.325         0.000867166          0.00035729
             170.775         0.000704573         0.000416838
             171.225         0.000812968         0.000416838
             171.675         0.000758771         0.000476386
             172.125         0.000758771         0.000535934
             172.575         0.000867166         0.000178645
             173.025         0.000379385          0.00035729
             173.475         0.000650375         0.000238193
             173.925         0.000487781         0.000297741
             174.375         0.000216792         0.000416838
             174.825         0.000162594          0.00035729
             175.275         0.000433583         5.95483e-05
             175.725         0.000379385         0.000119097
             176.175         0.000162594         0.000178645
             176.625         0.000596177         0.000297741
             177.075         0.000216792         0.000297741
             177.525         0.000270989         0.000119097
             177.975         0.000270989                   0
             178.425         0.000108396                   0
             178.875                   0         0.000178645
             179.325         5.41979e-05         5.95483e-05
             179.775                   0                   0
