#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               2.598        0.2131453924         1.554954231                   0        0.7408328062       0.01368329284       0.01353734152
                2.61        0.2231102616         1.774940251                   0        0.6853471659       0.01368014146       0.01365374383
               2.622        0.2316436257         1.932619037                   0        0.6433874671       0.01477997316       0.01363640732
               2.634        0.2412388348          2.11818369                   0        0.6235792287       0.01608779594       0.01352495829
               2.646        0.2562484046         2.314410902                   0        0.5950073878       0.01506674875       0.01361659416
               2.658        0.2676422684         2.492005235                   0         0.546831865       0.01533146469       0.01326738721
                2.67        0.2805524466         2.633885708                   0        0.5369028358       0.01479888144       0.01355963132
               2.682        0.2978850659         2.772114032                   0        0.5413310871       0.01560248339       0.01331196682
               2.694        0.3139786135         2.862747718                   0        0.4917331796       0.01613821802       0.01345065894
               2.706        0.3349551311         2.900200845                   0        0.4772353533       0.01590186451       0.01341598591
               2.718        0.3547544691          2.97756586                   0        0.4741081824        0.0157442955       0.01319556451
                2.73        0.3734532088         2.991332823                   0         0.450368142       0.01554575854       0.01332930334
               2.742        0.4008530386         3.026132903      0.006352432233        0.4236719387       0.01549848784       0.01350019184
               2.754        0.4233780142         3.033104039      0.008396258723        0.4098423789       0.01364862766       0.01294047007
               2.766        0.4493926495         2.957133387      0.006242673223        0.4092419113       0.01333664102       0.01293056349
               2.778        0.4737040965         2.942239571       0.00618885741        0.3917890566       0.01341542553       0.01297761975
                2.79        0.5002409147         2.910892003       0.02249769316        0.3645648914       0.01263703462        0.0125070572
               2.802        0.5271570045         2.800868097       0.05846720151        0.3840923383       0.01310974165       0.01284140427
               2.814        0.5602878087         2.688994273       0.05696435795        0.3540167304        0.0124479518       0.01234855192
               2.826          0.59229751         2.612002961       0.08771262108        0.3370623261        0.0133082786       0.01270766544
               2.838        0.6282963557         2.523706619        0.1093744253         0.336359302       0.01321058581       0.01273986183
                2.85        0.6644054911         2.397704616        0.1698697751        0.3359828147       0.01381880219       0.01196714859
               2.862        0.7002275667         2.282361059        0.2238418477        0.3203756691        0.0139606143       0.01276462828
               2.874        0.7381038915          2.18740659        0.2537792225        0.3390683156       0.01496275321       0.01248724404
               2.886        0.7757091376         2.102323136        0.3239894014        0.3446966886       0.01386922428       0.01250458055
               2.898         0.815187506         1.985622887        0.4565344911        0.3203639959       0.01359190282       0.01237579502
                2.91        0.8549619967         1.904592998        0.5351855792        0.3145938651       0.01328937032       0.01266308583
               2.922        0.8945872389         1.816586555        0.7194375335        0.3143460325       0.01233450212       0.01242285127
               2.934        0.9374094497         1.698660007        0.8014116535        0.2985258409       0.01294902126       0.01198696175
               2.946        0.9806606597         1.605806686        0.9557097528        0.3243787741       0.01246686009       0.01207116768
