 119865  5.78778547   
     0.87270105407697E+01    -0.31174559932006E+01    -0.46293811607365E+02
    -0.24889083039037E+01    -0.81488077666744E+01    -0.19592271806129E+02
    -0.99473311395675E+01     0.73984171779743E+01    -0.42556515033180E+02
     0.41101826520930E+01     0.12697065910902E+02    -0.11256230502842E+02
     0.11070952327037E+02    -0.40422246664039E+01    -0.27705696159244E+01
     0.18367348660684E+01     0.31992415217140E+01    -0.29281032108778E+02
     0.10070774803455E+02    -0.89219816733314E+01    -0.23812505849788E+01
    -0.60466644470075E+00     0.38631623469942E+01    -0.35272235483445E+02
     0.16411229561323E+02     0.70477224160802E+01    -0.25911561034638E+02
     0.29936472934249E+00    -0.67168312105815E+01    -0.12047242877799E+02
    -0.73732853065880E+01     0.11763075839015E+02    -0.28023102360684E+02
     0.12794050988167E+02     0.11037418272082E+02    -0.12787869472199E+02
    -0.10122736806288E+02    -0.11577373819356E+02    -0.31764633140742E+02
    -0.13042761788462E+01    -0.89479802359561E+01    -0.32181024578072E+02
    -0.28918497961820E+01     0.37267817822558E+01    -0.22959823351223E+02
    -0.12595598301472E+02     0.12054662941811E+02    -0.41921668321951E+02
     0.10542823010555E+02     0.19399808095822E+01    -0.32012189206731E+01
    -0.66440196040096E+01    -0.12224605937336E+02    -0.85345714442604E+01
    -0.34209661670482E+01     0.16108986327475E+02    -0.40728111553309E+01
    -0.39613489372301E+01    -0.82091129260706E+01    -0.14241471403538E+02
     0.50604266220944E+01    -0.12349199123934E+01    -0.26590349555688E+02
     0.10127129461024E+02    -0.75844530784056E+01    -0.32234702712805E+02
     0.80618589945073E+01    -0.48750374398757E+01    -0.41216749203101E+02
     0.41490910045226E+01    -0.11220191046111E+02    -0.37950824138340E+02
    -0.13546846490234E+02    -0.13270347302697E+01    -0.10187120218609E+02
     0.20166604160935E+01    -0.12581281568432E+01    -0.31575095724739E+02
    -0.81694388179574E+01     0.75110618473634E+01    -0.37657036735713E+02
    -0.64590447267934E+01    -0.57893045940897E+01    -0.82313592260909E+01
     0.91351637337627E+01     0.14212845673092E+02    -0.13494883717005E+02
     0.11615632250129E+02     0.70183297145782E+01    -0.31526211946793E+02
     0.26035854478201E+00     0.13209534880534E+01    -0.40051180745838E+02
    -0.72255893833017E+01     0.35092884921372E+01    -0.44458149830186E+02
    -0.14561069262948E+02     0.77867732682192E+01    -0.10958922939182E+02
    -0.86907341478619E+01     0.22771539753203E+01    -0.63163872749795E+01
     0.63798459503444E+01     0.76237434674777E+01    -0.18779217945874E+02
    -0.11123420392377E+01     0.13119130281993E+02    -0.78826245966738E+01
     0.73573089095426E+01    -0.52822567379231E+01    -0.19022506247107E+02
    -0.73136181313452E+01    -0.54986051317867E+01    -0.35867778244351E+02
     0.45293048909861E+01     0.45691673117461E+01    -0.35385927865407E+02
    -0.59779845052957E+00    -0.12358144815990E+02    -0.16764395089229E+02
     0.83041641599855E+01     0.17197296814574E+01    -0.34164367789841E+02
    -0.58799049125894E+01    -0.10945683610012E+01    -0.93157463697972E+01
     0.13698364667555E+01     0.52486183240310E+01     0.13962234433975E+01
    -0.75809292088911E+01     0.61891410164473E+01    -0.18471330965408E+01
    -0.75479569178916E+01     0.53750037413678E+01    -0.14864217716441E+02
     0.82552668089033E+00    -0.10885261465605E+02    -0.35207404922502E+01
     0.52956177687378E+01    -0.52135268188972E+01    -0.36577255230966E+02
     0.10916858285307E+02    -0.47288774130176E+01    -0.14254038007282E+02
    -0.12002376004526E+02     0.41715440320855E+00    -0.37653199529203E+02
    -0.82374888735851E+01    -0.76877975773627E+01    -0.21577800254877E+02
    -0.11610350149023E+02    -0.62852228262873E+00    -0.17687125607543E+02
     0.60157481695381E+01    -0.17901979002466E+01    -0.66166101045593E+01
     0.15709056488119E+01    -0.27928974906810E+01    -0.90968970504615E+01
     0.56986738971024E+01     0.32459721137977E+01    -0.62205157137977E+01
     0.17180952717853E+01    -0.51367500357085E+01     0.23192958512892E+01
     0.42670536588367E+00    -0.43651352218335E+01    -0.40294489939994E+00
     0.81526020911975E+01    -0.98320008627405E+01    -0.42024563312802E+02
     0.64048772709100E+01    -0.76936273462103E+01    -0.42385540639061E+02
     0.74638175276854E+01     0.41641321662873E+01    -0.28247137245356E+02
     0.68296561003864E+01     0.57817083893383E+01    -0.25767845459469E+02
    -0.76637378349528E+01     0.44090514512185E+01    -0.37031638240383E+02
    -0.67618686862692E+01     0.19634502259138E+01    -0.38634201991771E+02
    -0.75291110632666E+01     0.10852787130971E+02    -0.13895297017915E+02
    -0.60111758729952E+01     0.10808149374960E+02    -0.16354474338085E+02
    -0.94120534373387E+01    -0.52777994963677E+01    -0.76775495272334E+01
    -0.11962580828641E+02    -0.66778243199052E+01    -0.78006212523276E+01
    -0.59645672376228E+01     0.16924063797338E+00    -0.19696788338993E+01
    -0.61631897463044E+01     0.31413522532509E+01    -0.20737975764443E+01
     0.47990047068856E+01    -0.31026379552773E+01    -0.31815098480482E+02
     0.70923809257242E+01    -0.12396402238623E+01    -0.32549140209617E+02
    -0.41705108435765E+01     0.36946631905183E+01     0.91939143487886E+00
